[04-08-2025 01:43:57] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:43:57] INFO: → GET /api/images/profile-images/6fb649a3-d5ff-4958-8f28-deb257d17c79.jpg from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:43:58] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:44:16] INFO: → POST /api/login/application from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:45:07] INFO: → POST /api/login/application from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:45:14] INFO: → POST /api/login/application from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:45:19] INFO: → POST /api/login/application from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:45:20] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:45:22] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:45:23] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:45:24] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:35] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:38] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:38] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:52] INFO: → POST /api/login/application from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:53] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:55] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:56] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:56] INFO: → GET /api/images/profile-images/6fb649a3-d5ff-4958-8f28-deb257d17c79.jpg from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:55:57] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 01:56:10] INFO: → POST /api/profile/verifypassword from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
